Label,Alpha,Beta,Gamma,Delta,Theta,Date
2,6.977393,4.590469,0.64880997,2.4854004,10.486105,41:38.9
2,7.452445,3.0253148,0.7075398,4.005761,10.342341,41:39.8
2,7.4561195,3.2259922,-0.017041722,5.1664896,10.57779,41:40.9
2,8.572571,3.8922362,0.21428268,7.8788314,11.859338,41:41.9
2,9.071929,4.585656,1.3287655,7.5262566,12.172313,41:43.0
2,9.006602,4.591347,1.2947929,2.962199,9.950644,41:54.8
2,7.462138,5.396306,3.9270854,1.7410729,8.750857,41:55.8
2,7.5124426,5.3778267,5.095285,0.56008136,8.633469,41:56.9
2,6.940342,6.146622,6.095724,2.2340872,8.913867,41:57.9
2,7.7662992,6.742731,6.838343,5.46848,10.221528,41:58.9
2,8.290357,6.5172524,6.45497,6.5296717,11.2036295,41:59.9
2,7.564841,5.4122734,5.043511,6.326673,11.463804,42:00.8
2,8.2113,4.5569696,3.5601408,6.2479796,12.119503,42:01.8
2,8.771242,4.1389217,1.4125831,6.1677575,12.291394,42:02.9
2,8.703184,4.3026567,1.1819565,4.29992,11.856692,42:03.9
2,8.677391,4.5027785,0.8100834,6.5229096,12.807603,42:04.8
2,8.390548,4.955057,1.1678277,4.5379133,11.508937,42:15.6
2,7.3662386,4.345393,0.67151314,4.342532,11.08825,42:16.7
2,6.463006,3.7469823,-0.05129005,3.902986,11.71255,42:17.7
2,6.5004196,3.137785,-0.47736943,3.3499558,10.588224,42:18.7
2,5.4987473,3.3710403,-0.29804003,0.36373657,9.875123,42:19.8
2,6.778006,3.2506871,-0.1523467,0.044449616,9.939748,42:20.8
2,7.835376,2.6540806,0.22978137,4.227969,9.777755,42:21.7
2,8.1744175,1.8525953,-0.098597564,3.9160748,10.828401,42:22.7
2,8.780371,3.1846354,0.13482064,4.244066,12.147597,42:23.8
2,8.873258,3.5093806,0.8614056,4.565291,12.675546,42:24.7
2,8.528341,3.642349,1.3067616,3.6693234,12.901826,42:25.7
2,8.830677,3.77798,1.3682274,3.5659473,11.931753,42:26.7
2,9.273436,3.539059,0.4250474,3.2163537,11.823173,42:27.7
2,8.759076,3.2196214,-0.47854608,3.6910431,11.009448,42:28.7
2,8.972673,3.467703,-0.04974713,4.3743215,10.8818445,42:29.7
2,7.798992,2.9566185,-0.30449006,2.5456886,9.047479,42:30.7
2,8.893491,3.2609375,0.4348644,3.7766976,10.368457,42:31.6
2,8.156897,3.7109802,0.88966113,3.9109025,12.169417,42:32.6
2,7.881339,3.6436965,1.107705,3.8780513,12.453792,42:33.7
